PENCH_0029_04302	ASPCL_0033_00613
PENCH_0038_11354	ASPCL_0088_07695
PENCH_0038_11435	ASPCL_0080_03468
PENCH_0038_11621	ASPCL_0089_08681
PENCH_0034_07667	ASPCL_0088_07648
PENCH_0028_01070	ASPCL_0083_05016
PENCH_0037_09828	ASPCL_0089_08366
PENCH_0030_06070	ASPCL_0019_00114
PENCH_0037_09950	ASPCL_0077_01917
PENCH_0030_06168	ASPCL_0081_04258
PENCH_0035_09016	ASPCL_0081_04239
PENCH_0030_05497	ASPCL_0085_05481
PENCH_0029_04635	ASPCL_0078_02216
PENCH_0030_06608	ASPCL_0074_01086
PENCH_0030_05664	ASPCL_0089_09109
PENCH_0030_05742	ASPCL_0081_04154
PENCH_0038_11985	ASPCL_0074_01168
PENCH_0030_05292	ASPCL_0078_02125
PENCH_0029_04440	ASPCL_0033_00437
PENCH_0038_11945	ASPCL_0089_08749
PENCH_0037_10818	ASPCL_0085_06186
PENCH_0030_05211	ASPCL_0083_04565
PENCH_0038_12052	ASPCL_0074_01320
PENCH_0028_02263	ASPCL_0074_00859
PENCH_0034_08614	ASPCL_0088_07169
PENCH_0028_00797	ASPCL_0089_08930
PENCH_0030_05860	ASPCL_0083_04898
PENCH_0037_10668	ASPCL_0088_07469
PENCH_0032_07241	ASPCL_0081_03877
PENCH_0029_05008	ASPCL_0089_08864
PENCH_0028_02027	ASPCL_0083_04620
PENCH_0030_06293	ASPCL_0087_06467
PENCH_0029_04540	ASPCL_0078_02339
PENCH_0034_07639	ASPCL_0088_07673
PENCH_0029_04047	ASPCL_0082_04303
PENCH_0032_07217	ASPCL_0081_04000
PENCH_0028_01746	ASPCL_0078_02232
PENCH_0028_01444	ASPCL_0088_07746
PENCH_0029_04481	ASPCL_0033_00471
PENCH_0034_07616	ASPCL_0075_01631
PENCH_0037_09686	ASPCL_0088_07934
PENCH_0028_02079	ASPCL_0083_04666
PENCH_0037_09961	ASPCL_0077_01909
PENCH_0038_12320	ASPCL_0088_07375
PENCH_0032_06958	ASPCL_0088_07907
PENCH_0032_07109	ASPCL_0083_04882
PENCH_0032_07107	ASPCL_0083_04881
PENCH_0030_05660	ASPCL_0081_04085
PENCH_0037_10280	ASPCL_0085_05925
PENCH_0029_04468	ASPCL_0033_00461
PENCH_0032_06907	ASPCL_0085_06034
PENCH_0028_02245	ASPCL_0074_00848
PENCH_0038_12442	ASPCL_0081_04028
PENCH_0028_01910	ASPCL_0078_02401
PENCH_0029_04008	ASPCL_0074_00761
PENCH_0030_06416	ASPCL_0087_06539
PENCH_0038_11350	ASPCL_0088_07691
PENCH_0035_09021	ASPCL_0019_00258
PENCH_0034_07521	ASPCL_0081_04269
PENCH_0038_12381	ASPCL_0085_05759
PENCH_0030_05726	ASPCL_0081_04141
PENCH_0028_00879	ASPCL_0083_05109
PENCH_0034_08398	ASPCL_0088_07958
PENCH_0030_06589	ASPCL_0074_01081
PENCH_0028_00475	ASPCL_0089_09050
PENCH_0034_08618	ASPCL_0079_03282
